,abstract,author,download_number,field,foundation,issue,keyword,number,organization,page,page_number,size,title,year
734,"研究了氧化锌-硼酸法合成2335型硼酸锌过程中锌硼物料比、液固比、反应温度、反应时间对产物组成的影响。通过实验,优化得出硼酸锌的最佳合成工艺参数:nZnO∶nH3BO3为1∶4.3,固液比1∶3,反应温度85℃,反应时间8 h.通过化学分析如滴定法和X射线衍射法分析硼酸锌样品,并对合成产物进行了生物实验的研究,初步证实2335型硼酸锌对白腐菌有一定的抑制生长的作用。","['张玉星', '安燕', '贾贞贞', '杨雪艳']",52,['无机化工'],"['贵州省自然科学基金资助项目(黔科合J字2013-2131号', '2011-2072号)']",5,"['2335型硼酸锌', '氧化锌-硼酸法', '合成', '化学分析', '防腐']",15,"['贵州大学化学与化工学院', '贵州广播电视大学']",61-65,5,240K,防腐材料硼酸锌的合成研究及性能测试,2013
735,"为了获得高压脉冲电场(PEF)提取生产绿茶汤的最佳工艺条件,以茶多酚提取率为指标,用PEF提取技术生产绿茶汤,分别研究电场场强、脉冲个数、脉冲频率和料液比等因素对茶多酚提取率的影响。在得出单因素适宜范围的基础上,利用Design Expert软件设计响应面实验,进行响应面分析,得出PEF提取生产绿茶汤的最优条件如下:电场强度37 kV/cm、脉宽2.5μs、料液比为1∶30、脉冲个数10个、脉冲频率2700 Hz.","['方婷', '李彦杰', '李照禄', '孙沈鲁', '陈锦权']",80,['轻工业手工业'],['福建省科技厅高校产学合作科技重大项目(2011N5004)'],5,"['高压脉冲电场', '提取', '绿茶']",16,['福建农林大学食品科学学院'],66-71,6,308K,高压脉冲电场技术提取茶汤的工艺研究,2013
736,"中小功率发电机采用自动电压调节器调节励磁电流具有电压稳态调整率小的特点,但是发电机带感性负载的电枢反应使得电压波形畸变率加大,本文阐述中小功率单相柴油发电机采用自动调速和无功补偿的双闭环控制,通过样机性能实测表明发电机具有电压波形畸变率小、电压和频率调整率小的特点,具有工程实用性。",['倪榕生'],30,['电力工业'],['福州市高校科技计划项目(2008-G-117)'],5,"['发电机', '闭环控制', '无功补偿', '畸变率', '调整率']",17,['福州职业技术学院电子信息工程系'],72-76,5,209K,采用无功补偿提高中小功率柴油发电机的性能指标,2013
737,"本文提出并分析验证了一种腔型可变的锁模光纤激光器结构。方案中,简单改变电光调制器的位置可以分别实现环形腔和法布里-珀罗(F-P)腔的主动锁模激光器。实验中重点研究了两种结构下有理数谐波锁模的效果,通过比较可以看出在F-P腔结构下,腔内光脉冲先后两次经过调制器,受到两次不同深度的调制,此时调制器既作为锁模器件又作为脉冲幅度均衡器件。F-P腔结构的锁模激光器在保持传统锁模激光器输出波长连续可调的优势基础上,对锁模输出脉冲的幅度均衡有改善作用,并且有利于产生更高频率的锁模脉冲输出,实验中产生重复频率为调制频率六倍的锁模脉冲。","['单媛媛', '江阳', '马闯', '梁建惠', '李红霞', '白光富']",48,"['物理学', '无线电电子学']","['国家自然科学基金(61061004)', '教育部新世纪优秀人才支持计划(NCET-10-0099)', '贵州省优秀青年科技人才专项基金((2009)09)']",5,"['光纤锁模激光器', '有理数谐波锁模光纤激光器', '环形腔', 'F-P腔']",18,"['贵州大学理学院,贵州省光电子技术与应用重点实验室']",77-80+94,5,272K,腔型可变的有理数谐波锁模光纤激光器实验研究,2013
738,"基于回答集语义的逻辑程序(ASP)是一种描述性问题求解的典范,目前人们提出了各种ASP的扩张。本文提出带背景理论的回答集程序设计框架,它不仅是正规逻辑程序的一般化,对带聚合函数的ASP而言,也与SPT-PDB的回答集语义一致。经证明,当背景理论是命题逻辑时,该框架与Shen和You提出的方法一致。","['王以松', '张明义']",21,['计算机软件及计算机应用'],['贵州省优秀科技教育人才省长基金((2012)62)'],5,"['逻辑程序设计', '回答集', 'SMT', '聚合函数']",19,"['贵州大学计算机科学与技术学院', '贵州科学院']",81-89+94,10,226K,带模理论的回答集程序设计（英文）,2013
739,"科技计划项目全流程管理信息平台包括科技项目库、应用基础平台、网上信息采集平台、综合业务处理平台等主要内容的开发建设,将建成一个覆盖全市科技管理行政范畴内的科技业务管理体系,连接内网和外网,实现""外网接收,内网处理""的业务模式,满足项目管理过程规范处理的实际业务需要。","['周黎辉', '蔡蕙敏', '周滨']",62,['计算机软件及计算机应用'],['国家火炬计划项目(2009GH550191)'],5,"['科技计划', '信息系统', '查重', '监督管理', '项目跟踪', '统计分析']",20,"['贵阳生产力促进中心', '贵州大学管理学院']",90-94,5,238K,科技计划项目全流程管理信息平台设计研发与应用,2013
740,"为了解决LVQ神经网络在应用时对初始权值敏感的问题,基于粒子群算法提出PSOLVQ算法。PSO-LVQ算法利用PSO为LVQ神经网络寻找最适应的初始权值。算法的适应度函数定义为初始权值和输入样本集的平均聚集距离与最大聚集距离的变化率。该定义将输入样本集的数据分布特征作为PSO优化LVQ初始权值的依据。利用PSO-LVQ算法对乳腺癌进行诊断实验,并与其它相关算法进行比较。研究结果表明:PSO-LVQ神经网络算法在收敛性和分类准确率上都有改善和提升,乳腺癌诊断平均准确率可达95.94203%,最高可达100%,适用于乳腺癌的辅助诊断。","['张超', '魏三强', '胡秀建', '梁西陈']",90,['自动化技术'],"['安徽省高校省级自然科学基金项目(KJ2012Z405)', '安徽省高等学校省级优秀青年人才基金资助项目(2012SQRL263)']",5,"['LVQ', 'PSO', 'SOM', '适应度函数', '神经网络']",21,['宿州职业技术学院计算机信息系'],95-99,5,187K,基于粒子群算法优化LVQ神经网络的应用研究,2013
741,"本文首先分析了网上评标过程中出现的问题,结合现代密码学中数字签名技术,最后提出了一个基于椭圆曲线群签名的网上评标方案。该方案中引入群签名技术,实现了网上评标过程中评标人身份的合法性、匿名性和可追踪性,从而保障了网上评标的安全性和公平性。","['罗玉梅', '杨世平']",43,['计算机软件及计算机应用'],['贵阳市科学技术计划项目([2009]筑科2合同字第1-052号)'],5,"['网上评标', '数字签名', '椭圆曲线', '群签名']",22,"['贵州大学计算机科学与信息学院', '贵州大学明德学院']",100-103,4,134K,基于ECC的群签名在网上评标中的应用,2013
742,"详细介绍了一跨度为44 m立体钢桁架-混凝土板组合楼盖的结构形式。采用基于壳单元和杆单元的有限元模型对组合空间桁架结构与普通钢桁架结构进行理论分析,对比得到了组合空间桁架结构的位移、轴力及混凝土板应力。介绍了组合空间桁架各杆件及上弦节点设计。研究表明,组合空间桁架上层混凝土板受压,应力分布比较均匀,可以充分发挥材料的强度,有效地节省材料;上弦杆轴力较普通钢桁架小的多;下弦杆轴力分布由支座向跨中逐渐增大;腹杆轴力分布由支座向跨中逐渐减小。","['唐蓉琴', '黄勇']",70,['建筑科学与工程'],['国家自然科学基金(50478122)'],5,"['组合空间桁架', 'ANSYS分析', '节点构造']",23,['贵州大学土木建筑工程学院'],104-108+125,6,713K,钢桁架-混凝土板组合屋盖结构静力特性研究,2013
743,"在桥梁检测损伤的过程中,针对比较微小的损伤,以往需要完好梁的数据,但是桥梁损伤前的数据难以寻找。本文用Ansys模拟了具有一定代表性的工字钢梁,分多种工况,提取其轴线y方向上不同损伤情况下的曲率模态,用差分运算进行处理,并对差分曲线进行了详细的讨论,数值模拟结果表明,经过差分运算的模态数据可以准确的反映损伤位置,为进一步的直接损伤判定奠定基础。","['赵剑云', '马琨', '汪雨', '吴家权', '叶飞']",41,['公路与水路运输'],"['国家自科基金(KKGA201207006)', '教育厅重大项目(KKJI201007001)', '云南省高校结构健康诊断重点实验室(平台建设KKKP201207003)']",5,"['曲率模态', '直接损伤定位', '工字钢梁']",24,['昆明理工大学理学院'],109-112,4,233K,基于曲率模态的直接损伤定位,2013
744,"本文对新型大跨度钢—混凝土组合空腹夹层板楼盖的产生和发展做简单介绍,详细阐述该新型楼盖的构造特点;针对此类楼盖,重点介绍了比较适合用于工程设计和实践采用的实用分析方法;参照《钢筋混凝土空腹夹层板楼盖结构技术规程》(DB22/48-2005),结合一实际工程,具体介绍该楼盖的设计过程。本文的研究可供相关工程技术人员进行该新型楼盖的分析、设计及施工提供参考。","['张志明', '马克俭', '钟永力', '刘晓玮', '余德冕']",167,['建筑科学与工程'],[],5,"['夹层板', '组合楼盖', '构造特点', '实用分析', '设计']",25,['贵州大学空间结构研究中心'],113-117,5,375K,新型大跨度钢—混凝土组合空腹夹层板楼盖的构造与工程应用,2013
745,"本文通过对汉江大桥南引桥进行反应谱分析,表明汉江大桥南引桥能满足抗震设防要求,对同类型桥型的抗震设计验算具有一定的参考意义。",['张杰'],15,['公路与水路运输'],[],5,"['反应谱', '结构验算']",26,['招商局重庆交通科研设计院有限公司'],118-120,3,147K,安康汉江大桥南引桥抗震验算,2013
746,"论述了残积土的崩解性,并对两种不同风化程度下的玄武岩残积土进行了室内崩解试验,试验在原状土、烘干、风干三种条件下进行。试验结果表明,原状土样崩解速度较慢,风干土样崩解速度最快,烘干1 h土样次之。同时,土样本身的矿物成分、颗粒大小、含水率等是影响土样崩解的重要因素,棕红色土样由于含有游离态氧化铁等因素,崩解速率大于黄褐色土样。","['柳治国', '吕晓舜', '谭捍华']",75,['公路与水路运输'],['西部交通建设科技项目(2009 318 802 074)资助'],5,"['残积土', '崩解性', '试验']",27,['贵州省交通规划勘察设计研究院股份有限公司'],121-125,5,258K,玄武岩残积土的崩解性试验,2013
747,"本文以重庆农村的422个样本为分析素材,揭示出了当前农村畜禽养殖业污染治理的现状表征,结果显示:目前重庆农村畜禽养殖业污染以粪便为首;大多数养殖户实施了粪便的""干湿分离"",使用了合适的清粪工艺;仍然存在养殖污染未经处理就直接排放的现象;处理污染的最大难度是没有实用的技术;畜禽养殖业污染的防治工作应由政府和养殖户共同解决更为有效。基于此,本文提出了相应的对策建议。","['曾晶', '舒金梅', '车雨草', '石声萍']",103,['环境科学与资源利用'],"['教育部人文社会科学研究青年基金项目(10YJC630205)', '2010年重庆市教委高等教育教学改革研究一般项目(103321)', '2010年重庆市教委高等教育教学改革研究重点项目(102310)', '西南大学中央高校基本科研业务费专项基金一般项目(SWU1309406)', '西南大学中央高校基本科研业务费专项基金一般项目(SWU1009049)']",5,"['污染', '畜禽养殖业', '治理', '重庆']",28,"['贵州大学学报编辑部', '西南大学经济管理学院']",126-129,4,158K,重庆市农村畜禽养殖业污染治理调查及对策,2013
748,"培养人才是高等学校的根本任务,提高教育质量是永恒的主题。提高教育质量的重点是提高教学质量,其中课程教学质量尤其关键。本文针对信息与计算科学专业,采用层次分析法讨论课程质量评估指标权重大小的设置方法。","['袁权龙', '詹再东']",51,"['数学', '高等教育', '计算机硬件技术']","['贵州省教育厅高校人文社科青年基金项目(701275122101)', '贵州大学高等教育研究项目(701275003301)']",5,"['课程教学质量', '评估指标设计', '权重', '层次分析法']",29,['贵州大学理学院'],130-133,4,121K,“信息与计算科学专业”课程质量评估指标的设计与权重的设置,2013
749,"利用多元分析中的相关方法,通过抽象、组合、加工、转化,形成简单明了、通俗易懂、操作简单的简化式方差分析及综合相关分析方法,分析了物价变动情形。针对近几年来国家统计局公布的有限的有关物价的经济数据,进行全方位、多角度、深层次的分析研究,试图找出引发物价变动的主要因素及根源,让人们了解中国近几年经济现状及物价态势,引导人们采取相应对策趋利避害,防止大的通货膨胀及通货紧缩,以减少金融危机对其自身的影响。",['潘劲松'],27,"['宏观经济管理与可持续发展', '贸易经济']",['湖南省科学技术厅科技计划项目(2011FJ3130)'],5,"['物价指数', '简化式方差分析', '综合相关分析', '物价上涨']",30,['湖南机电职业技术学院'],134-140,7,142K,多元分析在物价变动研究中的应用,2013
